decile,n_loans,n_defaults,min_predicted_pct,max_predicted_pct,default_rate_pct,lift,pct_defaults_captured,pct_population,cum_lift
1,4519,296,5.1478,31.5844,6.5501,3.0962,30.9623,10.0002,3.0962
2,4519,211,3.0084,5.1477,4.6692,2.2071,53.0335,20.0004,2.6516
3,4519,141,1.9871,3.0083,3.1202,1.4749,67.7824,30.0007,2.2594
4,4519,94,1.3555,1.987,2.0801,0.9832,77.6151,40.0009,1.9403
5,4519,62,0.9249,1.3554,1.372,0.6485,84.1004,50.0011,1.682
6,4519,44,0.6362,0.9248,0.9737,0.4602,88.7029,60.0013,1.4783
7,4519,37,0.4273,0.6362,0.8188,0.387,92.5732,70.0015,1.3224
8,4519,36,0.2673,0.4273,0.7966,0.3766,96.3389,80.0018,1.2042
9,4519,25,0.1444,0.2672,0.5532,0.2615,98.954,90.002,1.0995
10,4518,10,0.0126,0.1444,0.2213,0.1046,100.0,100.0,1.0
