decile,n_loans,n_defaults,min_predicted_pct,max_predicted_pct,default_rate_pct,lift,pct_defaults_captured,pct_population,cum_lift
1,4519,322,5.2515,32.0024,7.1255,3.3681,33.682,10.0002,3.3681
2,4519,185,3.2304,5.2479,4.0938,1.9351,53.0335,20.0004,2.6516
3,4519,149,2.1771,3.2298,3.2972,1.5585,68.6192,30.0007,2.2873
4,4519,103,1.5143,2.1771,2.2793,1.0774,79.3933,40.0009,1.9848
5,4519,69,1.0837,1.5142,1.5269,0.7217,86.6109,50.0011,1.7322
6,4519,46,0.7779,1.0837,1.0179,0.4812,91.4226,60.0013,1.5237
7,4519,31,0.5452,0.7779,0.686,0.3243,94.6653,70.0015,1.3523
8,4519,23,0.3642,0.5452,0.509,0.2406,97.0711,80.0018,1.2134
9,4519,19,0.208,0.3641,0.4204,0.1987,99.0586,90.002,1.1006
10,4518,9,0.0145,0.208,0.1992,0.0942,100.0,100.0,1.0
