,odds_ratio,ci_low_95,ci_high_95,p_value
fico_band_<620,24.1141,19.5551,29.7361,0.0
fico_band_620-639,16.7425,13.5709,20.6554,0.0
fico_band_640-659,11.463,9.3438,14.0627,0.0
fico_band_660-679,10.0141,8.2221,12.1967,0.0
channel_T,7.1409,5.8965,8.6479,0.0
fico_band_680-699,6.7459,5.5345,8.2226,0.0
fico_band_700-719,5.5349,4.5376,6.7513,0.0
fico_band_720-739,4.0523,3.2985,4.9783,0.0
cltv_band_>97,4.0261,3.27,4.957,0.0
cltv_band_90-95,3.2404,2.6367,3.9822,0.0
cltv_band_85-90,3.2218,2.6451,3.9241,0.0
cltv_band_95-97,2.9176,1.8992,4.4821,0.0
channel_R,2.8969,2.4004,3.496,0.0
fico_band_740-759,2.5336,2.0338,3.1562,0.0
cltv_band_80-85,2.4695,1.8379,3.3181,0.0
dti_band_>50,2.2241,1.8123,2.7294,0.0
number_of_borrowers_band_1,2.1912,2.0262,2.3697,0.0
cltv_band_75-80,2.1332,1.8272,2.4905,0.0
rate_spread_pctpt,2.026,1.8425,2.2277,0.0
loan_purpose_C,1.9345,1.7161,2.1807,0.0
fico_band_760-779,1.8673,1.4834,2.3505,0.0
cltv_band_70-75,1.7525,1.4594,2.1045,0.0
dti_band_43-50,1.7087,1.4011,2.084,0.0
log_original_upb,1.6066,1.492,1.73,0.0
mi_pct_band_26-35,1.5345,1.3173,1.7875,0.0
channel_B,1.5318,1.1226,2.0901,0.0072
cltv_band_60-70,1.5101,1.2699,1.7955,0.0
number_of_units_band_Not available,1.4046,0.1754,11.2478,0.7489
loan_purpose_N,1.4005,1.242,1.5792,0.0
occupancy_status_S,1.346,1.0962,1.6526,0.0045
dti_band_36-43,1.3296,1.0921,1.6186,0.0045
mi_pct_band_>35,1.32,0.1676,10.3991,0.7921
mi_pct_band_1-12,1.1688,0.8923,1.5309,0.2575
occupancy_status_I,1.1578,0.9948,1.3475,0.0584
mi_pct_band_13-25,1.1361,0.9747,1.3243,0.1027
dti_band_30-36,1.1147,0.9074,1.3694,0.301
property_type_CO,1.0728,0.9372,1.2279,0.3083
number_of_units_band_2-4,1.0076,0.7989,1.2707,0.9492
property_type_PU,0.9855,0.8882,1.0935,0.7833
property_type_MH,0.9746,0.6428,1.4778,0.9038
dti_band_20-30,0.946,0.7686,1.1644,0.6007
first_time_homebuyer_flag_Y,0.929,0.8135,1.061,0.2773
dti_band_Not available,0.5858,0.4577,0.7498,0.0
property_type_CP,0.5799,0.2107,1.5959,0.2914
